               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.049475,            0.027009,           0.0098712,             0.44247,             0.30973,             0.29633,             0.11164,            0.064626,              0.0215,            0.023335,           0.0082675,           0.0082675,           0.0082675
                  37,            0.049304,            0.026835,           0.0089317,             0.51937,             0.28133,             0.30596,             0.12122,            0.065589,            0.021496,            0.023959,            0.008218,            0.008218,            0.008218
                  38,            0.049559,            0.026176,           0.0097323,               0.507,              0.3131,             0.30541,             0.11855,             0.06456,            0.021415,            0.024362,           0.0081685,           0.0081685,           0.0081685
                  39,            0.049264,            0.025719,           0.0093684,             0.39855,             0.25135,              0.2554,             0.10579,            0.065016,            0.021793,            0.024165,            0.008119,            0.008119,            0.008119
                  40,            0.047315,            0.024858,           0.0091211,             0.49541,             0.27953,             0.29369,             0.10439,            0.065185,            0.020872,            0.022802,           0.0080695,           0.0080695,           0.0080695
                  41,            0.048042,            0.025731,           0.0082515,              0.4671,             0.26885,             0.24793,            0.092347,            0.064906,            0.021904,             0.02238,             0.00802,             0.00802,             0.00802
                  42,             0.04746,            0.025668,           0.0088407,             0.34756,             0.32419,             0.25038,            0.097058,            0.064049,            0.021551,             0.02353,           0.0079705,           0.0079705,           0.0079705
                  43,            0.046909,            0.024999,           0.0086888,             0.48737,             0.29681,             0.29887,             0.12744,            0.065147,            0.021571,            0.023834,            0.007921,            0.007921,            0.007921
                  44,            0.047076,            0.025561,           0.0081825,             0.46084,             0.32827,             0.33383,             0.12648,            0.064811,            0.021583,            0.026093,           0.0078715,           0.0078715,           0.0078715
                  45,            0.046327,            0.025335,           0.0088346,             0.50291,             0.32348,             0.31616,             0.12029,            0.064239,            0.021697,            0.023282,            0.007822,            0.007822,            0.007822
                  46,            0.046051,            0.025669,           0.0081346,             0.42053,             0.32295,             0.30616,             0.12438,            0.064387,            0.022324,            0.021828,           0.0077725,           0.0077725,           0.0077725
                  47,            0.046449,            0.025587,           0.0078049,             0.39217,             0.27651,             0.25954,             0.10606,            0.065848,            0.022211,            0.023937,            0.007723,            0.007723,            0.007723
                  48,            0.045798,            0.024954,           0.0076116,             0.45589,             0.34198,             0.31802,             0.12469,            0.064015,            0.022023,            0.021296,           0.0076735,           0.0076735,           0.0076735
                  49,            0.046187,            0.025195,           0.0087135,             0.45443,             0.30087,             0.26264,             0.09813,            0.064474,            0.021855,            0.020975,            0.007624,            0.007624,            0.007624
                  50,            0.045621,             0.02453,           0.0077475,              0.4251,             0.31683,             0.26066,            0.097769,            0.064348,            0.022188,            0.023289,           0.0075745,           0.0075745,           0.0075745
                  51,            0.043791,            0.024696,           0.0069962,             0.42058,             0.29282,             0.26242,              0.1049,            0.063887,             0.02247,            0.021767,            0.007525,            0.007525,            0.007525
                  52,            0.044817,            0.023714,           0.0074207,             0.43567,             0.30059,             0.28103,               0.119,            0.064979,            0.022633,            0.022461,           0.0074755,           0.0074755,           0.0074755
                  53,            0.044347,              0.0251,            0.007696,             0.56861,             0.27497,             0.31536,             0.11588,             0.06538,            0.022219,             0.02233,            0.007426,            0.007426,            0.007426
                  54,            0.044097,            0.023857,           0.0076172,             0.56874,             0.29954,             0.34072,             0.13498,            0.065153,            0.022087,            0.020944,           0.0073765,           0.0073765,           0.0073765
                  55,            0.044519,            0.024099,           0.0061997,              0.4595,             0.29421,             0.28558,             0.11131,            0.064883,            0.022396,            0.022719,            0.007327,            0.007327,            0.007327
                  56,             0.04347,            0.023494,           0.0065661,             0.44686,             0.29085,             0.28616,             0.11296,             0.06426,            0.022479,             0.02068,           0.0072775,           0.0072775,           0.0072775
                  57,            0.043455,            0.023454,           0.0074029,             0.54368,             0.28422,             0.29359,             0.12037,            0.064637,            0.022037,            0.022796,            0.007228,            0.007228,            0.007228
                  58,            0.043634,            0.023517,           0.0069508,             0.53292,             0.25672,             0.28199,             0.11045,            0.063707,            0.023196,            0.022524,           0.0071785,           0.0071785,           0.0071785
                  59,            0.043961,            0.024569,           0.0066873,              0.4164,             0.34135,             0.29629,             0.12275,             0.06443,            0.022393,            0.022718,            0.007129,            0.007129,            0.007129
                  60,            0.042558,            0.024004,           0.0065647,             0.31961,             0.32082,              0.2556,             0.10561,            0.066031,            0.022017,            0.024821,           0.0070795,           0.0070795,           0.0070795
                  61,            0.042771,            0.023315,           0.0066386,             0.50753,             0.30074,              0.3141,             0.12722,            0.063943,            0.022485,            0.023602,             0.00703,             0.00703,             0.00703
                  62,            0.041849,            0.023161,           0.0061423,             0.54501,             0.31114,             0.31434,             0.12029,             0.06547,            0.022376,            0.025045,           0.0069805,           0.0069805,           0.0069805
                  63,            0.043024,            0.022891,           0.0069011,              0.3767,             0.32734,             0.27785,             0.10378,            0.064214,            0.022464,            0.022979,            0.006931,            0.006931,            0.006931
                  64,            0.041391,            0.023599,            0.006272,             0.48986,              0.3214,             0.30173,             0.12442,            0.064836,             0.02242,              0.0232,           0.0068815,           0.0068815,           0.0068815
                  65,            0.041996,            0.022507,           0.0065392,              0.4355,             0.27683,              0.2756,            0.092992,            0.065844,            0.022842,            0.024081,            0.006832,            0.006832,            0.006832
                  66,            0.041364,            0.023412,           0.0059535,             0.57134,             0.27909,             0.30997,             0.11589,              0.0646,            0.023201,            0.023035,           0.0067825,           0.0067825,           0.0067825
                  67,            0.041969,            0.023211,           0.0062927,             0.40489,             0.37282,             0.31939,             0.13171,            0.064433,             0.02278,            0.021748,            0.006733,            0.006733,            0.006733
                  68,            0.040278,            0.023194,           0.0054496,             0.45814,               0.366,             0.31689,              0.1262,            0.064534,            0.022785,            0.022657,           0.0066835,           0.0066835,           0.0066835
                  69,            0.040081,             0.02206,           0.0052229,             0.41394,             0.33289,             0.27301,              0.1127,            0.064369,            0.022839,            0.023223,            0.006634,            0.006634,            0.006634
                  70,            0.041059,            0.022449,            0.006176,             0.40769,               0.295,              0.2685,             0.11487,            0.065272,            0.022778,            0.023663,           0.0065845,           0.0065845,           0.0065845
                  71,            0.039922,            0.022183,           0.0051985,             0.32461,             0.33573,             0.26469,             0.10743,            0.065454,            0.023014,             0.02303,            0.006535,            0.006535,            0.006535
                  72,            0.040955,             0.02194,           0.0052997,             0.43011,             0.27017,             0.26157,             0.10509,            0.065819,            0.023031,            0.024083,           0.0064855,           0.0064855,           0.0064855
                  73,            0.040154,             0.02202,           0.0053931,             0.42425,             0.27005,             0.24781,            0.098228,             0.06572,            0.023059,            0.023253,            0.006436,            0.006436,            0.006436
                  74,             0.03992,            0.022061,           0.0058205,             0.53846,             0.29571,             0.29289,             0.10797,            0.064304,            0.023298,            0.023105,           0.0063865,           0.0063865,           0.0063865
                  75,            0.039465,            0.022592,           0.0053419,             0.51975,             0.28941,             0.28087,             0.11792,            0.065198,            0.022846,            0.022335,            0.006337,            0.006337,            0.006337
                  76,            0.039682,             0.02172,           0.0057703,             0.52369,             0.32427,              0.2901,              0.1166,            0.066271,            0.022863,            0.023897,           0.0062875,           0.0062875,           0.0062875
                  77,            0.039017,            0.021146,           0.0049293,             0.46981,             0.34782,             0.30551,             0.12511,            0.065112,            0.023152,            0.024755,            0.006238,            0.006238,            0.006238
                  78,            0.039716,            0.022394,            0.006015,             0.39149,              0.3326,             0.26518,             0.10071,            0.066026,            0.023398,            0.023655,           0.0061885,           0.0061885,           0.0061885
                  79,            0.038434,            0.021574,           0.0053896,             0.41104,             0.28139,             0.26523,             0.11667,            0.065124,            0.023569,            0.022946,            0.006139,            0.006139,            0.006139
                  80,            0.038497,            0.021614,           0.0045493,             0.46119,              0.2711,             0.26531,              0.1109,            0.065542,             0.02422,            0.024943,           0.0060895,           0.0060895,           0.0060895
                  81,            0.038016,            0.020766,           0.0043266,             0.49213,             0.32872,             0.28434,             0.11781,             0.06499,            0.023252,            0.025307,             0.00604,             0.00604,             0.00604
                  82,            0.038224,            0.021818,           0.0048583,             0.42022,             0.37681,              0.2739,             0.11106,             0.06538,            0.023565,            0.025989,           0.0059905,           0.0059905,           0.0059905
                  83,            0.038147,            0.021427,           0.0047987,             0.42152,             0.36581,             0.29707,             0.11493,            0.065902,            0.022843,            0.024852,            0.005941,            0.005941,            0.005941
                  84,            0.037918,            0.021256,           0.0048027,             0.36848,             0.33421,              0.2845,             0.11771,            0.065379,            0.023048,            0.025564,           0.0058915,           0.0058915,           0.0058915
                  85,            0.037083,            0.020082,           0.0053614,               0.359,             0.40364,             0.26718,             0.10886,            0.065371,            0.023525,            0.024249,            0.005842,            0.005842,            0.005842
                  86,            0.037526,            0.020772,           0.0048383,             0.43451,             0.33945,             0.30709,             0.11231,            0.064665,            0.023472,            0.024979,           0.0057925,           0.0057925,           0.0057925
                  87,            0.036908,            0.020586,           0.0050358,             0.52333,             0.29305,             0.28631,             0.10906,            0.065181,            0.024747,            0.023811,            0.005743,            0.005743,            0.005743
                  88,            0.037017,            0.020277,           0.0043618,             0.53832,             0.29022,             0.28994,             0.10574,            0.066405,            0.024181,            0.024501,           0.0056935,           0.0056935,           0.0056935
                  89,            0.037536,            0.021577,           0.0045975,             0.47767,              0.3066,             0.28389,             0.10351,            0.065571,             0.02427,             0.02487,            0.005644,            0.005644,            0.005644
                  90,            0.036567,            0.020546,            0.004289,             0.53085,              0.2957,             0.28866,             0.11108,            0.066045,            0.024527,            0.024035,           0.0055945,           0.0055945,           0.0055945
